param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
WIFI_PAYLOAD_BYTES,64,MQTT Baseline QoS0,15.1011,0.1347,20.8647,0.8629,13.99,0.3678,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9078.3,80.0759,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0811,0.0
WIFI_PAYLOAD_BYTES,64,MQTT Baseline QoS1,51.2118,0.6856,32.8512,0.9785,27.29,0.5198,0.5295,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30710.4,429.8634,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0952,0.0002
WIFI_PAYLOAD_BYTES,64,MQTT S&F QoS0,15.1862,0.1472,10.385,0.3232,7.68,0.3076,1.3941,0.064,0.7678,0.0168,1.372,0.0174,4010.5,119.4987,5095.8,93.0911,44.0314,1.0747,9106.3,95.5887,13945.0,395.1722,301.1,30.8529,2.565,0.0502,534.9053,0.0,3209.4444,0.0005
WIFI_PAYLOAD_BYTES,64,MQTT S&F QoS1,51.2546,0.3728,21.9614,0.4302,20.32,0.3198,1.3341,0.0307,0.7628,0.0226,1.4071,0.0225,14080.8,356.4552,16688.0,549.1176,45.784,1.4081,30768.8,257.1543,47064.0,1377.3086,813.8,121.6453,2.5558,0.0385,534.9053,0.0,3209.4728,0.0011
WIFI_PAYLOAD_BYTES,64,Vanilla DDS BE,15.3035,0.2157,21.2222,0.7838,14.1407,0.5358,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9181.1,131.6756,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
WIFI_PAYLOAD_BYTES,64,Vanilla DDS Rel,50.0349,0.5711,33.4393,1.2509,27.4507,0.8434,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29983.7,319.6034,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
WIFI_PAYLOAD_BYTES,64,DDS S&F BE,15.0745,0.2351,10.9431,0.3366,8.2,0.3494,1.5655,0.101,0.7312,0.0188,1.4059,0.0278,4341.9,121.8443,4706.1,108.8111,47.982,1.0487,9048.0,131.2966,12942.6,406.2598,290.5,61.0363,2.4629,0.0451,534.9053,0.0,3209.4459,0.0009
WIFI_PAYLOAD_BYTES,64,DDS S&F Rel,51.19,0.5128,22.2345,0.5515,20.27,0.462,1.3183,0.0584,0.7071,0.0331,1.3934,0.0237,15138.4,550.6295,15578.7,589.8756,49.2888,1.7866,30717.1,289.9642,41685.0,1896.2105,842.7,148.7498,2.384,0.0586,534.9053,0.0,3209.4723,0.002
WIFI_PAYLOAD_BYTES,128,MQTT Baseline QoS0,15.0368,0.1709,21.6333,1.2956,13.705,0.684,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9031.3,99.7946,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0811,0.0
WIFI_PAYLOAD_BYTES,128,MQTT Baseline QoS1,50.6272,0.6181,31.6015,0.7665,26.54,0.6158,0.5289,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30352.9,366.4841,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0949,0.0002
