param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
AREA_SIZE,500,MQTT Baseline QoS0,40.713,0.2704,3.8298,0.1239,0.95,0.098,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24420.9,194.6531,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0849,0.0
AREA_SIZE,500,MQTT Baseline QoS1,87.876,0.4412,10.5288,0.1879,8.02,0.1956,0.5207,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52690.2,249.0873,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.1063,0.0001
AREA_SIZE,500,MQTT S&F QoS0,40.8489,0.219,1.1944,0.0434,0.2,0.0,1.314,0.0353,0.6816,0.0111,1.4967,0.0106,13349.5,155.4467,11163.0,170.2344,54.4612,0.6037,24512.5,142.2573,29051.0,592.0243,1775.3,118.2194,2.2576,0.0271,534.9053,0.0,3209.464,0.0008
AREA_SIZE,500,MQTT S&F QoS1,88.3626,0.4606,7.3951,0.0478,4.82,0.064,1.4265,0.0263,0.7517,0.0139,1.5118,0.0158,26658.5,303.2368,26358.1,346.2623,50.2845,0.5589,53016.6,264.4722,66242.6,1418.0288,3745.9,218.451,2.3201,0.0276,534.9053,0.0,3209.5074,0.0015
AREA_SIZE,500,Vanilla DDS BE,40.7184,0.248,3.8831,0.117,1.0208,0.1045,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24396.4,156.8654,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
AREA_SIZE,500,Vanilla DDS Rel,88.2675,0.382,10.3423,0.1123,7.9508,0.1467,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52996.2,278.5824,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
AREA_SIZE,500,DDS S&F BE,40.7326,0.306,1.2291,0.0401,0.2,0.0,1.4701,0.0381,0.6867,0.0116,1.5088,0.0138,13299.9,136.2786,11109.8,176.3779,54.4891,0.5312,24409.7,187.154,29280.0,503.4973,1764.6,98.2954,2.2717,0.0169,534.9053,0.0,3209.4676,0.001
AREA_SIZE,500,DDS S&F Rel,88.7245,0.4999,7.4378,0.0903,4.81,0.1072,1.2596,0.0341,0.7486,0.0138,1.5206,0.0147,27020.8,445.6602,26196.1,365.1579,50.7722,0.7189,53216.9,283.261,66169.0,1007.3524,3818.6,164.1043,2.3153,0.0223,534.9053,0.0,3209.4988,0.0016
AREA_SIZE,750,MQTT Baseline QoS0,15.14,0.2846,21.3446,0.9425,13.925,0.4332,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9087.5,159.555,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0811,0.0
AREA_SIZE,750,MQTT Baseline QoS1,50.194,0.6551,32.6998,0.7111,26.85,0.4375,0.531,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30116.6,410.2369,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0949,0.0002
