param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
NUM_SENSORS,4,MQTT Baseline QoS0,12.0127,0.5178,22.1563,1.5636,15.06,1.031,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886.8,124.5699,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0796,0.0
NUM_SENSORS,4,MQTT Baseline QoS1,40.9717,0.7765,34.9353,1.5335,29.15,1.4965,0.5226,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9805.7,176.1026,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.084,0.0001
NUM_SENSORS,4,MQTT S&F QoS0,11.6685,0.3231,11.7757,0.5568,9.16,0.5212,1.9306,0.1604,0.7878,0.0367,1.42,0.0301,1247.4,73.7001,1555.4,81.2649,44.5113,2.3934,2802.8,78.5679,4216.9,148.291,92.9,19.7334,2.5378,0.0377,534.9053,0.0,3209.4372,0.0004
NUM_SENSORS,4,MQTT S&F QoS1,41.8229,0.908,23.2978,0.4359,21.76,0.5045,1.4257,0.0639,0.799,0.0404,1.4362,0.0445,4444.2,189.2667,5557.1,164.7529,44.4209,1.4949,10001.3,200.3915,14763.1,483.5868,342.7,79.7056,2.5111,0.0509,534.9053,0.0,3209.446,0.0007
NUM_SENSORS,4,Vanilla DDS BE,11.619,0.191,21.8745,0.8348,14.7006,0.6009,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2796.8,48.0143,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
NUM_SENSORS,4,Vanilla DDS Rel,41.9124,1.637,34.8464,0.9053,29.2606,0.748,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10086.3,387.4778,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
NUM_SENSORS,4,DDS S&F BE,11.8496,0.265,11.8148,0.443,9.2,0.5466,1.9773,0.2059,0.7825,0.0439,1.4209,0.0375,1281.4,73.7163,1564.7,59.6354,44.9907,2.0898,2846.1,62.3154,4220.0,177.9222,90.7,27.2418,2.5142,0.0506,534.9053,0.0,3209.4374,0.0006
NUM_SENSORS,4,DDS S&F Rel,41.5504,0.9211,23.3042,0.4942,21.86,0.5365,1.0165,0.0644,0.7642,0.0446,1.4299,0.0546,4645.4,256.4941,5307.3,122.4895,46.6117,1.7592,9952.7,209.2222,14477.4,607.1099,272.7,49.7864,2.4841,0.0744,534.9053,0.0,3209.4419,0.0006
NUM_SENSORS,8,MQTT Baseline QoS0,16.5121,0.2698,20.5096,0.6483,13.235,0.462,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7913.0,135.5112,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0808,0.0
NUM_SENSORS,8,MQTT Baseline QoS1,53.8559,0.6342,31.9898,1.5073,25.75,0.7648,0.527,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25879.4,312.05,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0925,0.0002
NUM_SENSORS,8,MQTT S&F QoS0,16.3543,0.2402,10.3852,0.4006,7.32,0.3467,1.476,0.0991,0.736,0.0295,1.4096,0.0248,3753.7,108.8074,4098.0,142.3577,47.8223,1.4062,7851.7,122.8458,11114.3,453.7,310.7,62.3097,2.4549,0.0532,534.9053,0.0,3209.4433,0.0008
