param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
NUM_UAVS,4,MQTT Baseline QoS0,9.681,0.1976,21.8365,1.2706,14.415,0.7163,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5791.7,114.2512,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,962.054,0.0
NUM_UAVS,4,MQTT Baseline QoS1,34.7416,0.545,34.4052,1.0215,28.03,0.7316,0.5343,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20863.7,322.9635,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,962.0637,0.0002
NUM_UAVS,4,MQTT S&F QoS0,9.6649,0.1495,13.9857,0.5737,10.37,0.5002,0.4297,0.0086,0.4113,0.0214,1.1562,0.0182,3732.8,167.5773,2060.3,99.36,64.3806,2.0761,5793.1,90.6089,4306.0,172.5569,0.0,0.0,1.744,0.0349,534.9053,0.0,2139.6237,0.0
NUM_UAVS,4,MQTT S&F QoS1,36.8383,0.5603,26.4147,0.8797,23.69,0.6818,0.787,0.0125,0.4045,0.0246,1.1484,0.0226,14326.5,576.1869,7777.9,390.4724,64.7774,1.9847,22104.4,346.7174,15942.0,682.835,0.0,0.0,1.7218,0.0348,534.9053,0.0,2139.6386,0.0003
NUM_UAVS,4,Vanilla DDS BE,9.2589,0.1418,20.616,1.0392,13.7407,0.4414,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5548.1,83.8135,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,962.0526,0.0
NUM_UAVS,4,Vanilla DDS Rel,35.0229,0.4359,34.2678,1.2331,28.2004,0.7235,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21020.3,247.8549,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,962.0526,0.0
NUM_UAVS,4,DDS S&F BE,9.4547,0.0844,14.5242,0.8351,10.7,0.7187,0.3275,0.0019,0.4151,0.016,1.151,0.0277,3637.3,67.4473,2050.1,50.6967,63.9492,0.9144,5687.4,50.8822,4244.8,72.4528,0.0,0.0,1.7464,0.0126,534.9053,0.0,2139.623,0.0
NUM_UAVS,4,DDS S&F Rel,36.6887,0.5543,27.248,0.6149,24.09,0.2346,0.4088,0.0049,0.3765,0.0165,1.1314,0.0173,14676.5,442.941,7312.3,259.2298,66.7222,1.3435,21988.8,302.6907,15071.8,390.3573,0.0,0.0,1.6861,0.0247,534.9053,0.0,2139.6302,0.0001
NUM_UAVS,6,MQTT Baseline QoS0,15.1738,0.2166,20.6969,1.0356,13.925,0.699,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9101.2,125.7088,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0811,0.0
NUM_UAVS,6,MQTT Baseline QoS1,50.4605,0.4137,32.3182,0.8368,26.9,0.7246,0.5291,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30255.7,240.2665,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0949,0.0001
NUM_UAVS,6,MQTT S&F QoS0,15.3194,0.1705,11.185,0.4002,8.23,0.342,1.3787,0.0845,0.7271,0.0139,1.3984,0.0207,4413.9,75.1376,4779.2,61.2378,48.0099,0.4937,9193.1,103.5827,13318.3,531.7429,310.8,64.9039,2.4826,0.0617,534.9053,0.0,3209.4444,0.0008
NUM_UAVS,6,MQTT S&F QoS1,52.2022,0.7009,21.887,0.4086,20.27,0.2614,1.313,0.0263,0.7596,0.0137,1.43,0.0268,14660.9,433.6921,16644.1,510.0284,46.8397,1.3507,31305.0,436.0337,44897.9,1138.9093,1106.0,234.782,2.4693,0.0303,534.9053,0.0,3209.4729,0.0009
NUM_UAVS,6,Vanilla DDS BE,15.3609,0.2192,21.4059,0.8051,14.0707,0.5036,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9205.0,123.8648,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
NUM_UAVS,6,Vanilla DDS Rel,50.1839,0.5337,33.1256,1.1722,27.1307,0.7307,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30052.4,294.5402,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
NUM_UAVS,6,DDS S&F BE,15.1219,0.1506,10.9942,0.3073,8.17,0.3754,1.3172,0.0748,0.7245,0.0222,1.4068,0.0272,4405.6,104.783,4676.0,94.4987,48.5081,0.9518,9081.6,100.2194,12663.6,353.448,324.4,54.8047,2.43,0.0379,534.9053,0.0,3209.4437,0.0008
NUM_UAVS,6,DDS S&F Rel,51.6422,0.5527,22.048,0.5025,20.13,0.2757,0.9025,0.0266,0.7458,0.0206,1.4107,0.0186,14588.8,477.4831,16348.7,288.1225,47.1377,1.1776,30937.5,303.6834,42490.1,704.3729,918.7,197.8222,2.4034,0.0259,534.9053,0.0,3209.4597,0.0007
NUM_UAVS,8,MQTT Baseline QoS0,20.369,0.2054,21.1182,0.7033,13.945,0.3749,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12241.2,142.2506,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1924.1082,0.0
NUM_UAVS,8,MQTT Baseline QoS1,61.0701,0.7332,32.0945,0.5093,26.17,0.4451,0.5294,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36641.1,463.5729,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1924.1246,0.0002
NUM_UAVS,8,MQTT S&F QoS0,20.7195,0.269,8.8155,0.2667,6.4,0.2206,2.8191,0.0956,1.0501,0.0223,1.6811,0.0204,4671.0,75.0498,7774.4,165.8497,37.5437,0.7045,12445.4,159.0231,24458.4,536.4151,2819.7,191.5294,3.1916,0.0405,534.9053,0.0,4279.2774,0.0012
NUM_UAVS,8,MQTT S&F QoS1,60.8866,0.8531,18.4724,0.4191,16.86,0.4082,2.0243,0.058,1.0626,0.0284,1.6767,0.0166,13432.3,651.429,23216.8,517.9626,36.6323,1.5311,36649.1,478.24,71552.8,1557.9451,7873.9,532.5623,3.1679,0.0532,534.9053,0.0,4279.3165,0.0019
NUM_UAVS,8,Vanilla DDS BE,20.1412,0.2844,21.2529,0.6154,14.0603,0.3447,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12084.9,154.1721,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1924.1052,0.0
