param_name,param_value,standard,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
WIFI_MAX_RATE,54000000.0,54 Mbps (802.11a/g),MQTT Baseline QoS0,15.1228,0.1902,21.5624,1.1079,14.265,0.7313,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9081.7,116.3289,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0811,0.0
WIFI_MAX_RATE,54000000.0,54 Mbps (802.11a/g),MQTT Baseline QoS1,49.8843,0.5059,32.3871,0.7016,26.98,0.4817,0.5308,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29939.9,337.6045,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0948,0.0002
WIFI_MAX_RATE,54000000.0,54 Mbps (802.11a/g),MQTT S&F QoS0,15.077,0.1897,11.0216,0.3814,8.27,0.3638,1.3542,0.0927,0.7373,0.0156,1.4069,0.027,4303.3,71.6823,4741.8,102.4508,47.5829,0.7179,9045.1,118.1954,12840.2,330.4072,284.4,75.9572,2.4509,0.0332,534.9053,0.0,3209.444,0.0009
WIFI_MAX_RATE,54000000.0,54 Mbps (802.11a/g),MQTT S&F QoS1,51.8226,0.6626,21.8141,0.4608,20.16,0.4113,1.2639,0.0564,0.7293,0.024,1.4183,0.0297,15122.5,455.4105,16001.5,382.2515,48.5801,1.1948,31124.0,395.6729,43061.0,1471.496,880.5,244.7642,2.4125,0.0561,534.9053,0.0,3209.4711,0.0016
WIFI_MAX_RATE,54000000.0,54 Mbps (802.11a/g),Vanilla DDS BE,15.0842,0.1239,20.4906,0.5819,13.5809,0.2992,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9055.0,87.4423,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
WIFI_MAX_RATE,54000000.0,54 Mbps (802.11a/g),Vanilla DDS Rel,49.9596,0.593,33.0726,0.7697,27.2207,0.5025,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29973.7,355.3731,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
WIFI_MAX_RATE,54000000.0,54 Mbps (802.11a/g),DDS S&F BE,15.2199,0.1875,10.7881,0.366,8.05,0.3082,1.3435,0.0951,0.7364,0.0232,1.4192,0.025,4388.8,127.6954,4733.8,145.4734,48.115,1.3525,9122.6,117.2333,12718.4,434.4726,271.0,35.7595,2.4232,0.0337,534.9053,0.0,3209.444,0.001
WIFI_MAX_RATE,54000000.0,54 Mbps (802.11a/g),DDS S&F Rel,51.1815,0.3897,21.9889,0.4215,20.13,0.2647,0.8904,0.0401,0.7253,0.0228,1.3803,0.0243,14585.0,297.1424,16132.9,309.7914,47.481,0.9239,30717.9,211.0957,42786.7,1038.1179,799.5,133.699,2.4189,0.0339,534.9053,0.0,3209.4591,0.0012
WIFI_MAX_RATE,600000000.0,600 Mbps (802.11n),MQTT Baseline QoS0,15.0116,0.2187,21.5509,1.0243,13.85,0.4768,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8995.7,130.242,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0811,0.0
WIFI_MAX_RATE,600000000.0,600 Mbps (802.11n),MQTT Baseline QoS1,50.0508,0.6648,32.356,1.0177,26.76,0.6638,0.5301,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30013.2,389.6873,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0948,0.0002
WIFI_MAX_RATE,600000000.0,600 Mbps (802.11n),MQTT S&F QoS0,15.2769,0.1983,10.7496,0.3447,8.03,0.2952,1.426,0.1039,0.7492,0.0252,1.4317,0.0239,4378.5,144.6768,4800.5,116.8131,47.6898,1.2741,9179.0,120.9676,13402.4,354.5492,345.1,47.6982,2.4978,0.0362,534.9053,0.0,3209.4448,0.0009
WIFI_MAX_RATE,600000000.0,600 Mbps (802.11n),MQTT S&F QoS1,52.2341,0.8235,21.9486,0.4641,20.22,0.4067,1.2731,0.0213,0.7382,0.0232,1.4064,0.0204,14915.2,576.3082,16461.0,385.8924,47.5137,1.3914,31376.2,450.9098,44011.1,1025.7299,982.5,207.5043,2.4341,0.028,534.9053,0.0,3209.4717,0.0009
WIFI_MAX_RATE,600000000.0,600 Mbps (802.11n),Vanilla DDS BE,15.1409,0.2877,21.158,0.8791,14.2305,0.5716,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9081.5,165.3814,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
WIFI_MAX_RATE,600000000.0,600 Mbps (802.11n),Vanilla DDS Rel,50.004,0.6744,32.0095,0.6023,26.3308,0.4132,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30007.9,409.9728,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0789,0.0
WIFI_MAX_RATE,600000000.0,600 Mbps (802.11n),DDS S&F BE,15.1528,0.2242,10.9454,0.4519,8.115,0.4314,1.4216,0.0986,0.7568,0.0157,1.4247,0.0205,4259.4,129.8347,4828.7,121.7713,46.8636,1.1628,9088.1,137.9862,13159.1,302.9411,293.0,42.2874,2.4807,0.0349,534.9053,0.0,3209.4447,0.0008
WIFI_MAX_RATE,600000000.0,600 Mbps (802.11n),DDS S&F Rel,51.7676,0.5106,21.9404,0.5246,20.06,0.5468,0.8936,0.0294,0.7342,0.0181,1.4081,0.0312,14886.2,303.6878,16218.6,237.9637,47.8537,0.732,31104.8,298.4542,42294.8,1227.0322,741.6,187.8508,2.3834,0.038,534.9053,0.0,3209.4596,0.0009
WIFI_MAX_RATE,3500000000.0,3.5 Gbps (802.11ac),MQTT Baseline QoS0,14.9733,0.2327,22.4378,1.1291,14.36,0.5918,0.2464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8995.3,135.1342,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0811,0.0
WIFI_MAX_RATE,3500000000.0,3.5 Gbps (802.11ac),MQTT Baseline QoS1,50.3138,0.775,32.3094,0.9408,26.87,0.5044,0.5301,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30185.6,472.1251,0.0,0.0,0.0,0.0,1.0,0.0,240.5131,0.0,1443.0949,0.0003
WIFI_MAX_RATE,3500000000.0,3.5 Gbps (802.11ac),MQTT S&F QoS0,15.2027,0.1911,11.1119,0.3368,8.33,0.3395,1.4069,0.101,0.748,0.0161,1.4231,0.015,4319.4,86.9823,4786.1,108.1485,47.4419,0.8558,9105.5,117.7165,13347.5,500.5937,380.6,59.4341,2.5074,0.0485,534.9053,0.0,3209.4446,0.001
WIFI_MAX_RATE,3500000000.0,3.5 Gbps (802.11ac),MQTT S&F QoS1,51.8852,0.5353,21.3273,0.3272,19.72,0.2948,1.2874,0.0378,0.7343,0.0166,1.4053,0.0332,14838.8,236.4344,16245.5,211.673,47.7353,0.5245,31084.3,312.6364,43974.9,781.8275,966.0,132.9969,2.4461,0.027,534.9053,0.0,3209.4718,0.0008
