param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
AREA_SIZE,500,DDS S&W BE,40.7967,0.2772,1.1981,0.0254,0.2,0.0,0.5008,0.0052,0.6577,0.0091,1.4489,0.0121,13373.6,136.6792,11119.0,167.3628,54.6052,0.5094,24492.6,185.4326,29176.5,531.8037,0.0,0.0,2.1913,0.0208,534.9053,0.0,3209.444,0.0001
AREA_SIZE,500,DDS S&W Rel,88.3827,0.6076,7.4432,0.0788,4.86,0.1062,0.731,0.0083,0.7331,0.0068,1.4798,0.0153,26761.5,254.8232,26279.4,299.5391,50.4555,0.4469,53040.9,295.9948,66833.5,931.6549,0.0,0.0,2.2602,0.0196,534.9053,0.0,3209.4705,0.0003
AREA_SIZE,750,DDS S&W BE,15.1833,0.2323,10.7555,0.3421,7.94,0.346,0.458,0.0075,0.7123,0.0217,1.3806,0.0176,4415.7,113.3947,4705.1,132.6889,48.4201,1.1569,9120.8,131.7512,12673.9,448.9113,0.0,0.0,2.3894,0.0433,534.9053,0.0,3209.4359,0.0001
AREA_SIZE,750,DDS S&W Rel,51.3969,0.5634,21.9306,0.6066,20.19,0.5454,0.5928,0.0099,0.704,0.0227,1.3741,0.0203,15081.0,384.2224,15824.6,315.3013,48.7905,1.0085,30905.6,339.4724,42627.3,1036.7004,0.0,0.0,2.3795,0.0353,534.9053,0.0,3209.4501,0.0003
AREA_SIZE,1000,DDS S&W BE,7.4362,0.1801,27.7794,0.7161,22.91,0.8301,0.4585,0.0132,0.6787,0.0297,1.3385,0.0252,2204.0,101.9803,2263.4,85.4515,49.3164,1.7175,4467.4,108.7297,6945.3,354.0211,0.0,0.0,2.555,0.073,534.9053,0.0,3209.4338,0.0001
AREA_SIZE,1000,DDS S&W Rel,30.1667,0.5654,42.8527,1.1339,36.79,0.9573,0.5209,0.0087,0.609,0.038,1.3026,0.0338,9653.9,377.9914,8453.1,399.5152,53.325,1.954,18107.0,329.1251,23974.2,740.7047,0.0,0.0,2.3246,0.0411,534.9053,0.0,3209.4412,0.0002
AREA_SIZE,1250,DDS S&W BE,4.4451,0.1791,52.614,3.0902,43.935,2.1775,0.4535,0.0149,0.6781,0.0567,1.3019,0.0477,1278.0,94.0741,1383.7,109.5183,48.0466,3.1509,2661.7,108.1917,4281.8,329.7053,0.0,0.0,2.6061,0.0829,534.9053,0.0,3209.433,0.0001
AREA_SIZE,1250,DDS S&W Rel,18.9767,0.6067,71.9238,3.7674,58.92,2.2055,0.5028,0.0157,0.5689,0.0331,1.2747,0.0298,6326.1,431.7289,5075.0,204.7468,55.3693,2.4188,11401.1,360.9616,15365.2,475.008,0.0,0.0,2.3529,0.075,534.9053,0.0,3209.4375,0.0001
AREA_SIZE,1500,DDS S&W BE,3.0172,0.1304,75.708,4.115,61.83,4.1602,0.4243,0.0165,0.5864,0.0531,1.2962,0.0631,991.8,68.5457,819.4,69.5088,54.7941,3.2666,1811.2,75.2723,2644.6,246.3869,0.0,0.0,2.4562,0.1011,534.9053,0.0,3209.4325,0.0
AREA_SIZE,1500,DDS S&W Rel,13.1363,0.4715,105.0968,8.5784,87.24,7.0994,0.4796,0.0145,0.4848,0.0351,1.2181,0.0354,4745.4,250.2661,3128.9,198.1956,60.2617,2.1432,7874.3,287.0215,10215.0,666.7851,0.0,0.0,2.2966,0.0656,534.9053,0.0,3209.4355,0.0002
