param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
NUM_SENSORS,4,DDS S&W BE,11.9848,0.3514,11.9991,0.4013,9.52,0.4302,0.4745,0.0086,0.7719,0.0383,1.4045,0.0284,1288.8,59.3842,1578.0,99.9801,45.0432,2.5072,2866.8,82.8796,4288.4,182.1943,0.0,0.0,2.4961,0.0494,534.9053,0.0,3209.4331,0.0
NUM_SENSORS,4,DDS S&W Rel,41.4272,1.2143,22.6069,0.5894,21.055,0.4748,0.6121,0.017,0.7561,0.0457,1.3939,0.0588,4540.8,246.4795,5386.8,297.2356,45.7644,2.2654,9927.6,297.5609,14691.3,897.7634,0.0,0.0,2.4794,0.0774,534.9053,0.0,3209.4378,0.0002
NUM_SENSORS,8,DDS S&W BE,16.6772,0.1751,10.6567,0.2928,7.83,0.3254,0.4652,0.0078,0.7122,0.0194,1.3959,0.0225,3923.3,109.4336,4087.3,105.4489,48.975,1.2214,8010.6,93.0702,11358.9,349.5772,0.0,0.0,2.4181,0.0418,534.9053,0.0,3209.4355,0.0001
NUM_SENSORS,8,DDS S&W Rel,54.7104,0.5496,21.2383,0.5252,19.4,0.4601,0.6055,0.0106,0.7033,0.0341,1.3669,0.0235,12764.9,571.9275,13483.3,399.033,48.6029,1.7985,26248.2,278.8787,36629.2,1010.4244,0.0,0.0,2.3961,0.044,534.9053,0.0,3209.4477,0.0002
NUM_SENSORS,16,DDS S&W BE,16.3418,0.1503,10.5006,0.426,7.59,0.2928,0.4709,0.0099,0.7391,0.0281,1.3942,0.0238,7381.1,223.369,8319.0,231.9624,47.0147,1.3834,15700.1,147.5392,22902.7,835.6379,0.0,0.0,2.459,0.0541,534.9053,0.0,3209.4392,0.0002
NUM_SENSORS,16,DDS S&W Rel,53.8134,0.3348,22.5461,0.318,20.13,0.2581,0.5537,0.0076,0.6661,0.0201,1.3527,0.0172,26224.3,699.778,25425.3,615.3664,50.7687,1.232,51649.6,324.4947,63865.8,1574.8786,0.0,0.0,2.2365,0.0294,534.9053,0.0,3209.4604,0.0004
NUM_SENSORS,32,DDS S&W BE,16.1978,0.1025,10.3619,0.1691,7.15,0.2008,0.4464,0.0032,0.696,0.0086,1.3773,0.0157,15380.0,202.0191,15716.1,203.9571,49.4597,0.5671,31096.1,204.8971,42002.0,645.6374,0.0,0.0,2.3507,0.0173,534.9053,0.0,3209.4456,0.0001
NUM_SENSORS,32,DDS S&W Rel,47.2541,0.2638,22.9578,0.3647,19.85,0.304,0.4833,0.0047,0.5496,0.0107,1.3049,0.005,52497.5,798.7411,38192.6,716.3566,57.8854,0.7881,90690.1,447.4923,89013.4,1598.1995,0.0,0.0,1.9815,0.0164,534.9053,0.0,3209.4756,0.0005
NUM_SENSORS,64,DDS S&W BE,14.5539,0.0474,11.5891,0.4278,7.57,0.3742,0.4103,0.0049,0.6422,0.0228,1.3469,0.0231,29267.7,524.892,26643.6,612.7169,52.3505,1.0077,55911.3,184.7936,67670.1,1486.0435,0.0,0.0,2.2103,0.0265,534.9053,0.0,3209.4547,0.0003
NUM_SENSORS,64,DDS S&W Rel,33.7195,0.5608,24.1114,0.6112,20.31,0.2972,0.4172,0.0063,0.4591,0.0149,1.2485,0.0153,81839.3,1511.8167,47594.1,1613.6956,63.24,0.9278,129433.4,2152.7745,101090.6,4246.6826,0.0,0.0,1.7807,0.0263,534.9053,0.0,3209.4858,0.0015
