param_name,param_value,protocol,pdr_mean,pdr_ci95,avg_latency_mean,avg_latency_ci95,median_latency_mean,median_latency_ci95,energy_per_msg_mJ_mean,energy_per_msg_mJ_ci95,avg_hops_mean,avg_hops_ci95,avg_hops_relayed_mean,avg_hops_relayed_ci95,direct_deliveries_mean,direct_deliveries_ci95,relayed_deliveries_mean,relayed_deliveries_ci95,direct_delivery_ratio_mean,direct_delivery_ratio_ci95,total_delivered_mean,total_delivered_ci95,spray_events_mean,spray_events_ci95,focus_events_mean,focus_events_ci95,overhead_factor_mean,overhead_factor_ci95,sink_flight_energy_kJ_mean,sink_flight_energy_kJ_ci95,total_system_energy_kJ_mean,total_system_energy_kJ_ci95
NUM_UAVS,4,DDS S&W BE,9.6315,0.1897,15.2693,0.87,11.02,0.7516,0.3285,0.0047,0.4113,0.0146,1.1657,0.024,3730.0,90.9585,2033.9,72.2218,64.717,0.9683,5763.9,117.5127,4359.5,201.7804,0.0,0.0,1.7562,0.0304,534.9053,0.0,2139.6231,0.0
NUM_UAVS,4,DDS S&W Rel,36.3944,0.6543,27.3787,0.6276,24.115,0.5482,0.4093,0.0062,0.3667,0.0162,1.1287,0.0218,14724.1,390.6392,7087.7,325.5626,67.5068,1.3527,21811.8,382.9692,14664.4,468.3402,0.0,0.0,1.6726,0.0215,534.9053,0.0,2139.6301,0.0001
NUM_UAVS,6,DDS S&W BE,15.1616,0.1993,10.8388,0.2469,8.02,0.3211,0.4726,0.0068,0.7374,0.0191,1.393,0.0166,4270.5,92.6574,4801.4,114.7072,47.0792,0.9793,9071.9,102.0361,13256.5,312.0384,0.0,0.0,2.4614,0.0331,534.9053,0.0,3209.4361,0.0001
NUM_UAVS,6,DDS S&W Rel,52.2487,0.655,22.3686,0.4689,20.58,0.3005,0.5908,0.0103,0.7103,0.0285,1.3742,0.0256,15133.7,682.4673,16171.2,497.0473,48.3159,1.8176,31304.9,411.8624,43101.7,1051.2567,0.0,0.0,2.3774,0.0381,534.9053,0.0,3209.4503,0.0003
NUM_UAVS,8,DDS S&W BE,20.3672,0.2581,8.5635,0.3198,6.26,0.3347,0.5918,0.0083,0.9619,0.0202,1.5316,0.0162,4543.5,139.2098,7666.2,133.0055,37.2055,0.9295,12209.7,161.4133,24653.7,515.5198,0.0,0.0,3.0198,0.0459,534.9053,0.0,4279.2496,0.0001
NUM_UAVS,8,DDS S&W Rel,61.9349,0.5866,18.9164,0.237,17.34,0.2551,0.761,0.0107,0.9705,0.0243,1.529,0.0202,13583.3,406.553,23585.3,430.3784,36.5437,0.9979,37168.6,370.4189,73629.1,1591.7597,0.0,0.0,2.9812,0.0441,534.9053,0.0,4279.2706,0.0004
NUM_UAVS,10,DDS S&W BE,25.208,0.2712,7.5109,0.1467,5.23,0.1433,0.6955,0.007,1.0964,0.02,1.6234,0.0165,4918.3,109.3205,10226.0,137.5719,32.4752,0.6169,15144.3,160.9146,37296.1,617.6554,0.0,0.0,3.4629,0.0372,534.9053,0.0,5349.0635,0.0001
NUM_UAVS,10,DDS S&W Rel,69.125,0.6058,16.8503,0.2763,15.1,0.2462,0.9383,0.0106,1.1614,0.0168,1.6519,0.0105,12309.2,351.9947,29138.7,315.5436,29.6946,0.7774,41447.9,252.0955,105870.0,1291.4823,0.0,0.0,3.5543,0.0257,534.9053,0.0,5349.0918,0.0005
NUM_UAVS,12,DDS S&W BE,29.4934,0.2789,6.6597,0.1346,4.47,0.1403,0.8002,0.0078,1.2103,0.0222,1.6849,0.0125,4984.5,149.2892,12709.2,214.3815,28.1757,0.8673,17693.7,159.8572,51312.6,799.7088,0.0,0.0,3.9001,0.0387,534.9053,0.0,6418.8777,0.0002
NUM_UAVS,12,DDS S&W Rel,74.727,0.4119,15.0831,0.2796,13.14,0.2821,1.0614,0.0083,1.2647,0.0254,1.7103,0.0247,11677.3,328.1303,33127.0,354.5673,26.0624,0.7147,44804.3,233.5255,129591.9,1621.6571,0.0,0.0,3.8925,0.0355,534.9053,0.0,6418.9111,0.0004
